Report generated on: 05-03-2026 15:14:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.55-1-BWA-TBPD.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-BRA-TBPD.A","        Brazil","233","271","336","447","601","721","713","741","718","761","790","808","793","669.6273972602739","686.9078958904109","711.6971671232877","801.1066803278688","861.6040301369864","995.9923808219178","1129.3510739726028","1268.05668852459","1336.3294849315068","1499.0337150684932","1552.046208219178","1544.0292513661202","1707.5287616438357","1811.953005479452","1839.2265342465753","2381.5519098360655","2505.9634465753425","2660.205890410959","2632.6973534246576","2599.4447349726775","2641.4161616438355","2897.2158328767123","3113.9383643835617","3164.824180327869","3299.394053508722"
"INTL.55-1-VGB-TBPD.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-BRN-TBPD.A","        Brunei","270","188","179","187","175","168","181","150","148","142","160","171","177","190.5205479452055","183.66027397260274","182","172","170.5945205479452","165","189","195","203","209.36712328767123","213","210.05464480874318","205.67945205479452","220.07397260273973","189.6986301369863","181.4863387978142","168.60821917808218","169.0849315068493","169.2157506849315","159.0671038251366","135.16985753424657","126.43224931506849","126.81245205479452","120.86433879781421","113.20635068493151"
"INTL.55-1-BGR-TBPD.A","        Bulgaria","3","3","3","3","4","6","6","6","4.4","5","4","1.2","1.1","1","1","0.8","0.8","0.8","0.8","0.5","0.5","0.5","1","1","1","1","1.1","1.2","1.2","1.4","1.37","1.32","1.62","2.166","1.5031917808219177","2.372","2.676","4.455"
"INTL.55-1-BFA-TBPD.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-MMR-TBPD.A","        Burma","30","27","30","30","32","30","24","17","14","16","14","16","15","13","13","9","8","8","8","8","12","12.851232876712329","16.2","19","19.15","22.187","21.2","21.2","20.2","19.2","18.2","17.2","16.2","17.2","15.2","11.2","11.2","11.963"
"INTL.55-1-BDI-TBPD.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-CPV-TBPD.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-KHM-TBPD.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0"
"INTL.55-1-CMR-TBPD.A","        Cameroon","58","87","109","114","135","185","177","174","163","170","161","153","140","130","116","100.97260273972603","107","116.97260273972603","121.45205479452055","113.98630136986301","113.77637978142077","102.8489808219178","108.2087698630137","102.18142191780822","97.23776229508196","89.45197260273973","91.48219178082192","86.5068493150685","81.32513661202186","76.9041095890411","65","61.66027397260274","63","62.75616438356165","75","98","92","75.95945205479451"
"INTL.55-1-CAN-TBPD.A","        Canada","1435.2021857923498","1284.7287671232878","1271.150684931507","1356.2301369863014","1437.622950819672","1471.0520547945205","1474.2191780821918","1534.9287671232876","1616.2322404371585","1560.0958904109589","1552.9996712328766","1547.9806438356165","1605.2250251338764","2176.309589041096","2293.917791780822","2400.2999616438356","2479.427136612022","2589.0989726027397","2672.9981068493153","2603.830928767123","2721.5416338797813","2727.9535780821916","2858.1593205479453","3082.344610958904","3172.290213114754","3124.91701369863","3306.6876410958903","3413.9957698630137","3273.0376967213115","3241.249117808219","3364.0602739726028","3524.3876712328765","3783.4945355191257","4000.923287671233","4321.501369863014","4433.783561643836","4516.450819672131","4881.438356164384"
"INTL.55-1-CYM-TBPD.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-CAF-TBPD.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-TCD-TBPD.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","32.6986301369863","173.0737704918033","170","156.24657534246575","144","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","127.919117"
"INTL.55-1-CHL-TBPD.A","        Chile","45","51","53","49","49","47","41","40","34","32","32","28","26","19.33150684931507","18.931424657534247","14.531646575342466","12.847330601092896","10.16122191780822","9.862720547945205","9.783109589041096","9.035215846994536","10.287301369863014","9.358498630136987","8.520512328767124","8.456265027322404","7.646857534246576","12.455071232876712","10.849517808219177","7.092079234972678","7.683876712328767","12.98904109589041","12.92876712328767","11.904371584699453","10.638356164383561","8.742465753424657","7.260273972602739","5.423497267759563","6.204334246575343"
"INTL.55-1-CHN-TBPD.A","        China","2113.8524590163934","2012.4383561643835","2045","2119.6027397260273","2295.6693989071036","2505.1643835616437","2620.2876712328766","2690","2730.3196721311474","2756.7917808219177","2773.9991589041097","2835.0004301369863","2844.663105511848","2912.145205479452","2921.8257369863013","3000.4984767123287","3138.090786885246","3214.4561315068495","3224.4758684931508","3203.4042054794522","3260.871844262295","3290.2059643835614","3352.2964630136985","3358.1424356164384","3541.062961748634","3677.545287671233","3741.6822383561644","3839.6689506849316","3977.1819672131146","4001.191506849315","4351.360273972603","4401.055616438356","4477.074316939891","4608.816712328767","4737.254794520548","4837.693150684931","4568.530054644809","4407.043820253378"
"INTL.55-1-COL-TBPD.A","        Colombia","132","131","147","156","172","180","310","391","382","411","448","425","439","456.3643835616438","463.51212602739724","588.6681863013698","634.9225136612022","656.1949780821918","744.7232876712329","820.4654767123287","688.1857923497267","605.9923178082191","580.1444575342466","545.3318575342465","529.1370300546448","528.5546684931506","533.4877178082191","538.6545150684932","596.1500109289617","683.6025561643836","799.2822657534247","932.3009506849315","968.6716721311475","1027.4765315068494","1010.8920465753424","1028.9204383561644","910.5784535519126","878.0657851205481"
"INTL.55-1-COM-TBPD.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-COG-TBPD.A","        Congo-Brazzaville","65","83","89","87","121","120","119","123","144","164","165","156","174","188.78082191780823","176","180.4794520547945","200.47267759562843","225.15068493150685","249.44657534246576","266.9972630136986","265.1809262295082","247.56005753424657","238.4389698630137","216.87885205479452","225.03410109289618","246.7756383561644","278.533698630137","223.92862739726027","240.2704918032787","274.8602739726027","346.05621643835616","295.9598520547945","270.59534972677596","248.30152602739727","241.28248493150684","245.4784","204.99632513661203","252.84639007178518"
"INTL.55-1-COD-TBPD.A","        Congo-Kinshasa","20","20","23","25","32","33","32","32","30","28","29","28","26","23","25","28","29","28","26","26","23","25","23","25","27","25","24","24","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19"
"INTL.55-1-COK-TBPD.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-CRI-TBPD.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1.34","2.06","2.11","2.9","2.4","1.2","0","0","1.259","1.324","1.331","1.479","1.571","0"
"INTL.55-1-CIV-TBPD.A","        Cote d'Ivoire","1","7","9","23","27","28","20","18","12","2","2","2","1.5","6","7","7","16","14","10","10","7","6","15.863013698630137","21","25","40","62","48","59.16502732240437","57.8172602739726","43.83287671232877","39.58904109589041","37.91530054644809","37","36","29.586301369863012","40.52459016393443","38.023576"
"INTL.55-1-HRV-TBPD.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","42","39.487671232876714","38.756923287671235","38","35.89147267759563","37.17418082191781","33.78827123287671","31.757813698630137","28.289338797814207","27.312923287671232","25.175334246575343","23.092539726027397","22.063355191256832","20.164383561643834","19.665753424657535","19.853424657534248","18.766666666666666","20.68082191780822","19.853561643835615","17.802054794520547","16.60333333333333","16.657260273972604","16.198630136986303","14.733178082191781","14.601967213114754","14.88593698630137"
"INTL.55-1-CUB-TBPD.A","        Cuba","6","9","11","13","16","19","20","20","17","17","16","16","18","20","23","26","26","26","30","38","51.131","54.796","66.04","68","60","53.8","53.5","52.4","54.546","50.535","60.251","61.148","61.302","58.988","59.943","55.24","49.809","48.5"
"INTL.55-1-CYP-TBPD.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0","0.01","0"
"INTL.55-1-CZE-TBPD.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","","5.323126027397261","5.531747945205479","4.969975409836065","9.096054794520548","8.813953424657534","7.978284931506849","7.537986338797814","7.194528767123288","8.334345205479453","6.3671780821917805","11.379625683060109","11.638339726027397","6.537367123287671","7.139517808219178","7.412568306010929","6.504109589041096","11.580780821917807","12.427931506849315","12.635","10.753","13.522","11.904616438356165","10.806333333333335","7.313041095890411"
"INTL.55-1-DNK-TBPD.A","        Denmark","6","15","35","45","46","58","76","97","99","117","121","143","163","167.53698630136986","184.94898630136987","186.00308219178083","207.81645355191256","230.32918082191782","237.85933698630137","299.88277260273975","363.0328715846995","347.99659452054794","370.7806410958904","374.3164712328767","415.9454726775956","389.5288684931507","350.04445479452056","318.6447397260274","288.3128879781421","261.68068493150685","246.9854301369863","222.84734520547946","203.83018306010928","177.60616712328766","167.52171232876714","159.58857534246576","140.80661202185792","142.64610824394663"
"INTL.55-1-DJI-TBPD.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-DMA-TBPD.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-DOM-TBPD.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-ECU-TBPD.A","        Ecuador","204.15300546448088","211.16438356164383","210.86301369863014","237.12328767123287","257.92349726775956","281.24383561643833","293.2739726027397","174.0958904109589","302.1530054644809","278.7972602739726","285.041095890411","299.06575342465754","320.99954918032785","341.65479452054797","379.2246575342466","384","382.8360655737705","391.1135506849315","378.1418684931507","375.74869863013697","404.1540683060109","432.7901205479452","393.89101369863016","425.6574602739726","531.0098825136612","535.8930191780822","539.9945917808219","507.3864712328767","508.72770218579234","489.620197260274","490.28687671232876","503.6130219178082","508.69207923497265","532.9874082191781","563.4160575342466","550.5448410958904","554.5172295081967","538.1262876712328"
"INTL.55-1-EGY-TBPD.A","        Egypt","594.9997377049181","597.9997589041096","670.000098630137","727.0287698630137","821.9999016393442","887.0000630136987","813.0001260273973","896.0000082191781","848.0000601092896","865.0003315068493","873.0007260273973","874.0011232876712","881.2188469945355","959.5616438356165","931","933","913","878","857","838","711.2113524590164","701.3217205479452","697.9362767123288","714.5203178082191","669.6100327868852","648.5959753424657","644.2466575342465","663.4590328767123","671.3989071038251","682.7123287671233","697.6154246575343","704.3096438356164","708.8128196721311","708.5393835616438","708.4514520547946","718.3561643835617","686.3825136612022","712.4955257534247"
"INTL.55-1-SLV-TBPD.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.35","1.54","5.78","4.74","4.555","2.15","0","0.003","0.003","0.003","0.003","0","0","0"
"INTL.55-1-GNQ-TBPD.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0.1","1.6","","4.671232876712328","7.756164383561644","17.6775956284153","59.778082191780825","81.52054794520548","102.32602739726028","117.60382513661202","193.92054794520547","230.24657534246575","292.58306575342465","344.2447868852459","380.1808712328767","375.76229863013697","363.2576328767123","359.20315300546446","346.01606849315067","322.7103835616438","298.8880328767123","310.4","290.7972602739726","278","268","244","202.77876712328768"
"INTL.55-1-ERI-TBPD.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-EST-TBPD.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","5.090410958904109","5.75352602739726","5.983583561643836","6.713133879781421","7.1536109589041095","4.276709589041096","3.0110082191780823","4.685806010928962","5.0246657534246575","5.542539726027397","6.098701369863013","6.502748633879781","4.794539726027398","8.361690410958904","8.150835616438355","7.6","9","10","11","11","13","13","16","14","18.391846575342466"
"INTL.55-1-SWZ-TBPD.A","        Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0.431","0.551","0.827","0.827","0.775","0.81","0.775","0"
"INTL.55-1-ETH-TBPD.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.167","0.211","0.296","0.354","0"
"INTL.55-1-FLK-TBPD.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-FRO-TBPD.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-FJI-TBPD.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-FIN-TBPD.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.05","0.22","0.4","0","0","0","6.792","4.696","6.021","7.485","8.33","9.991","2.065","8.302"
"INTL.55-1-CSK-TBPD.A","        Former Czechoslovakia","2.1","2.1","2.1","2.1","2.1","2.1","3.1","3.1","3.1","3.1","2.4","2.8","2.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-SCG-TBPD.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","23","25","21.56","21.32","20.544","19.58","18.26","17","20","18","16","","15","14.161643835616438","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-SUN-TBPD.A","        Former U.S.S.R.","11705.934426229509","11850.063013698631","11911.928767123287","11971.753424657534","11860.74863387978","11584.745205479452","11894.824657534247","12050.162520502225","12053.431647683778","11715.091110914716","10975.042966439616","9992.004236297558","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-YUG-TBPD.A","        Former Yugoslavia","88","88","89","87","84","90","88","90","86","78","74","68","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-FRA-TBPD.A","        France","52","61","55","55","55","67","74","77","79","77","72","69","70","67.67671232876712","68.21655890410959","61.4137205479452","56.101204918032785","48.06578356164383","42.50703561643836","42.11794246575342","43.58504098360656","39.972786301369865","37.93161095890411","31.145430136986302","30.83437704918033","35.97529863013698","30.735676712328768","23.148183561643837","25.5","26.15068493150685","87.89593150684932","84.41513698630136","86.69636612021857","90.3217397260274","92.66998630136986","94.84723287671233","80.97238895088526","81.44808505501369"
"INTL.55-1-GUF-TBPD.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-PYF-TBPD.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-GAB-TBPD.A","        Gabon","175","151","156","157","157","172","166","155","159","208","269.91506849315067","293.97534246575344","297.6502732240437","295.9506849315068","344.4931506849315","368.6027397260274","371","375.972602739726","356.472602739726","318.2054794520548","275.59550273224045","261.9416602739726","256.2712794520548","273.5582273972603","273.23054098360655","270","242","246","248.13661202185793","242.12876712328767","245.87671232876713","241.35342465753425","230","220","220","213.32876712328766","210.81967213114754","198.84931506849315"
"INTL.55-1-GMB-TBPD.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.55-1-GEO-TBPD.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","2.9","1","2","1.396","2.553","2.8","2.38","1.2","2.188","1.976","1.478","2.794","1.947","1.334","1.2564684931506849","1.1368356164383562","1","1","1","1","1","1","1","0.7994520547945205","0.4","0.4170739726027397"
"INTL.55-1-DEU-TBPD.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","95","85","80.12328767123287","76.36442191780822","76.27665753424658","72.76243715846995","73.47965753424657","75.63845479452054","75.44115890410959","85.82327049180329","85.53984383561644","91.23853424657534","80.73444109589042","84.12929781420765","77.96525479452055","90.83801643835616","78.84722191780821","89.08196721311475","91.33150684931506","150.51","157.362","151.951","149.58938356164384","145.2766712328767","137.42901369863014","123.24063717298907","115.13320089041095"
"INTL.55-1-DDR-TBPD.A","        Germany, East","1","1","1","1","1","1","1","1","0.8","0.9","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-DEUW-TBPD.A","        Germany, West","92","89","98","105","107","109","109","104","112","104","104","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.55-1-GHA-TBPD.A","        Ghana","2","2","2","2","2","1","0.3","0","0","0","0","0","1.1","","6","6","6.751366120218579","7","7","7","7","7","7","7","7","6","6","6","6","6","7.189041095890411","76.5123287671233","78.35519125683061","97.91232876712328","105.01917808219179","102.35616438356165","98.36065573770492","150.74602739726026"
"INTL.55-1-GIB-TBPD.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
